name,location_city,location_neighborhood,location_coordinates,categories_0,bio_summary,bio_url,bio_birthdate,bio_deathdate,bio_yearsActiveStart,bio_yearsActiveEnd,youtube_clipExampleUrl,categories_1,categories_2
DaBaby,Charlotte,,"-80.7697212, 35.3002924",rapper,"Jonathan Lyndale Kirk (born December 21, 1991), better known as DaBaby (formerly known as Baby Jesus), is an American rapper from Charlotte, North Carolina.",https://en.wikipedia.org/wiki/DaBaby,1991-12-21T00:00:00.000Z,,2015,,https://www.youtube.com/embed/KvuQNNVrbtM,,
Md Beddah,Vratsa,,"23.555322, 43.207068",rapper,"Deyan Minchev better known by his stage name Md Beddah, is a Bulgarian  rapper and composer from Vratsa born in 1988. He is a member of the XPRSN crew.",,,,2002,,https://www.youtube.com/embed/lhyk0RFYRJI,,
Roxanne Shante,New York,Queensbridge,"-73.943925, 40.753746",rapper,"Roxanne Shante (born Lolita Shanté Gooden; November 9, 1969) is an American hip hop musician and rapper. Born and raised in the Queensbridge Projects of Queens, New York City, Shante first gained attention through the Roxanne Wars and was part of the Juice Crew.",https://en.wikipedia.org/wiki/Roxanne_Shante,1969-11-09T00:00:00.000Z,,1984,1996.0,https://www.youtube.com/embed/0eckRNcHCKA,,
Sada baby,Detroit,,"-82.983587, 42.434580",rapper,"Casada Aaron Sorrell aka Sada Baby also (also known as Skuba Steve), born on November 17 1992, is an american rapper from Detroit Michigan.",https://genius.com/artists/Sada-baby,1992-11-17T00:00:00.000Z,,2016,,https://www.youtube.com/embed/_Q_a6gCou0E,,
Ms Tee,New Orleans,Treme,"-90.077871, 29.970989",rapper,"Trishell Williams better known by his stage name Ms Tee, is an american rapper from Treme, New Orleans. She was the first female signature of Cash Money.",,,,1995,2011.0,https://www.youtube.com/embed/0V5bbHgymeU,,
Varnish La Piscine,Geneva,,"6.156004300114207, 46.20773348412868 ",producer / dj,"Jephté Mbisi better known as Varnish La Piscine is a producer / rapper from Geneva, Switzerland. He first gain recognition for is work as a producer with other Geneva based rapper, until he start release is own solo project as a rapper.  ",,,,2015,,https://www.youtube.com/embed/gn2rzICWCuU,rapper,
Luniz,Oakland,,"-122.168786, 37.734385",group,"Luniz (formerly the LuniTunes) is a american duo from Oakland, California, formed by Yukmouth and Numskull. The group is best known for the internationally successful hit ""I Got 5 on It"". ",https://en.wikipedia.org/wiki/Luniz,,,1992,,https://www.youtube.com/embed/HSC9cgvtkRs,,
Da Brat,Chicago,Westside,"-87.676095, 41.884104",rapper,"Shawntae Harris (born April 14, 1974), better known by her stage name Da Brat, is an American rapper and actress from Chicago, Illinois. ",https://en.wikipedia.org/wiki/Da_Brat,1974-04-14T00:00:00.000Z,,1991,,https://www.youtube.com/embed/zfpR9jKy0IQ,,
Noname,Chicago,Bronzeville,"-87.623895, 41.811987",rapper,"Fatimah Nyeema Warner (born September 18, 1991), better known by her stage name Noname, is an American rapper, poet and record producer from  Bronzeville, Chicago,  Illinois.",https://en.wikipedia.org/wiki/Noname_(rapper),1991-09-18T00:00:00.000Z,,2010,,https://www.youtube.com/embed/K58JYXhb4YA,,
Cellyru,Sacramento,,"-121.358512, 38.687218",rapper,"Cellyru is an american rapper from Sacramento, California. He is a member of the Mozzy Records label.
",,,,2014,,https://www.youtube.com/embed/teHsYkXSpe8,,
Dangerous Crew,Bay Area,,"-122.276214, 37.831781",group,"The Dangerous Crew was an American hip hop band formed by Oakland, California rapper and producer Todd ""Too Short"" Shaw. The Dangerous Crew consisted of both live musicians and rappers: Stuart ""Shorty B"" Jordan (bass, guitar, drums), Ramone ""Pee-Wee"" Gooden (keyboards, drums, guitar), Anthony ""Ant"" Banks (keyboards, drum programming, mixing), Sean G (live drums), and rappers Too Short, Mhisani ""Goldy"" Miller, FM Blue, Dangerous Dame, Russell ""Rappin' Ron"" Royster, Ant Diddley Dog, Robert ""Spice 1"" Green Jr. and Damani ""Father Dom"" Khaleel.",https://en.wikipedia.org/wiki/The_Dangerous_Crew,,,1988,1996.0,https://www.youtube.com/embed/NsGuD4gr1c4,,
Seagram,Oakland,,"-122.185518, 37.757858",rapper,"Seagram Miller (April 13, 1970 %u2013 July 31, 1996) was an American rapper from Oakland, California. Miller was shot to death in a drive-by shooting on July 31, 1996. ",https://en.wikipedia.org/wiki/Seagram_(rapper),1970-04-13T00:00:00.000Z,1996-07-31T00:00:00.000Z,1989,1996.0,https://www.youtube.com/embed/gYVDa_OcJNo,,
Kilo G,New Orleans,,"-90.039491, 29.942291",rapper,"Born Robert L. Johnson (August 28, 1976, 15th of January, 1997), Kilo G was an american rapper from New Orlean, Louisiana. He was a member of the early Cash Money record label. The 15th of January, 1997, Kilo-G was shot to death. ",https://www.discogs.com/artist/344293-Kilo-G,1976-08-28T00:00:00.000Z,,1992,,https://www.youtube.com/embed/rDrPf32eR4c,,
Lil Blood,Oakland,,"-122.290202, 37.816099",rapper,"Lil Blood, is an american rapper from West Oakland. ",,,,2009,,https://www.youtube.com/embed/UDNTKZIMYOU,,
J Stallin,Oakland,Cypress Village,"-122.290711, 37.807422",rapper,"Jovan Smith (born January 25, 1983), better known by his stage name J. Stalin (also stylized as J Stalin or J-Stalin), is a rapper from the Cypress Village housing projects in West Oakland.",https://en.wikipedia.org/wiki/J._Stalin,1983-01-25T00:00:00.000Z,,2005,,https://www.youtube.com/embed/HnQp_Tc9MD8,,
Chingy,St. Louis,Bad blocks,"-90.282114, 38.701785",rapper,"Howard Bailey Jr. (Born March 9, 1980), better known by his stage name Chingy, is an American rapper and actor from St Louis, Missouri.",https://en.wikipedia.org/wiki/Chingy,1980-03-09T00:00:00.000Z,,2001,,https://www.youtube.com/embed/iO476kD-k0g,,
Lil Troy,Houston,,"-95.329350, 29.678171",rapper,"Troy Lane Birklett (born February 24, 1966), better known by his stage name Lil' Troy, is an American rapper. He is the founder of the Short Stop label and was a member or the Mass 187 group. ",https://en.wikipedia.org/wiki/Lil%27_Troy,1966-02-24T00:00:00.000Z,,1987,2007.0,https://www.youtube.com/embed/wA2CDJWx5So,,
M.O.P.,Brooklyn,Brownsville,"-73.917402, 40.666870",group,"M.O.P. (short for Mash Out Posse) is an American hip hop duo from Brooklyn, New York City. Composed of rappers Billy Danze and Lil' Fame. Although they maintain a strong underground following, they are mainly known for the song ""Ante Up"", released on their Warriorz album in 2000.",https://en.wikipedia.org/wiki/M.O.P.,,,1992,,https://www.youtube.com/embed/jqPxJp5OJW0,,
Domo Genesis,Los Angeles,,"-118.343288, 33.940898",rapper,"Dominique Marquis Cole (born March 9, 1991), known professionally as Domo Genesis, is an American rapper and disc jockey (DJ) from Los Angeles, California. He is a member of Odd Future.",https://en.wikipedia.org/wiki/Domo_Genesis,1991-03-09T00:00:00.000Z,,2009,,https://www.youtube.com/embed/dKPQWyTOYFU,,
Biz Markie,Long Island,,"-72.929980, 40.851066",rapper,"Marcel Theo Hall (born April 8, 1964), better known by his stage name Biz Markie, is an American rapper, beatboxer, DJ, and a comedian from Long Island, New York.  ",https://en.wikipedia.org/wiki/Biz_Markie,1964-04-08T00:00:00.000Z,,1985,,https://www.youtube.com/embed/9aofoBrFNdg,,
Skee-Lo,Riverside,,"-117.384666, 33.938898",rapper,"Antoine Roundtree (born March 27, 1975), better known by his stage name Skee-Lo, is an American rapper. He is best known for his 1995 song, ""I Wish"".",https://en.wikipedia.org/wiki/Skee-Lo,1975-03-27T00:00:00.000Z,,1990,,https://www.youtube.com/embed/ryDOy3AosBw,,
Lost Boyz,Queens,South Jamaica,"-73.787700, 40.686680",group,"Lost Boyz is a hip hop group from South Jamaica, Queens, New York City formed by MC Mr. Cheeks, backup MC and promoter Freaky Tah, DJ Spigg Nice (Ronald Blackwell) and Pretty Lou (Eric Ruth).",https://en.wikipedia.org/wiki/Lost_Boyz,,,1993,,https://www.youtube.com/embed/BqxRvPCJcGg,,
Crime Mob,Atlanta,,"-84.399290, 33.724833",group,"Crime Mob is an American hip hop group from Atlanta consisting of seven members: M.I.G., Cyco Black, Princess, Lil' Jay, Diamond, and Killa C. The group is best known for their songs ""Knuck If You Buck"" and ""Rock Yo Hips"". ",https://en.wikipedia.org/wiki/Crime_Mob,,,2002,2008.0,https://www.youtube.com/embed/TC1oURSaYoQ,,
Krilino,Lille,,"3.046314, 50.608123",rapper,Krilino is a french rapper from Lille.,,,,2013,,https://www.youtube.com/embed/QQu3_vzF7Ps,,
G Herbo,Chicago,,"-87.587100, 41.782300 ",rapper,"Herbert Randall Wright III (born October 8, 1995), better known by his stage name G Herbo, (formerly Lil Herb) is an American rapper and songwriter from Chicago, Illinois. ",https://en.wikipedia.org/wiki/G_Herbo,1995-10-08T00:00:00.000Z,,2012,,https://www.youtube.com/embed/8TqckF87f5Q,,
Young Scooter,Atlanta,Kirkwood,"-84.325439, 33.749363",rapper,"Kenneth Edward Bailey (born March 28, 1986), better known by his stage name Young Scooter, is an American rapper from Atlanta, Georgia. He is affiliated with Freebandz and 1017 Brick Squad Records.",https://en.wikipedia.org/wiki/Young_Scooter,1986-03-28T00:00:00.000Z,,2008,,https://www.youtube.com/embed/dlYrZqUZrRY,,
Lil Reese,Chicago,,"-87.644600, 41.756388",rapper,"Tavares Taylor (born January 6, 1993), known by his stage name Lil Reese, is an American rapper from Chicago, Illinois. As of 2012, Lil Reese was signed to Def Jam Recordings.",https://en.wikipedia.org/wiki/Lil_Reese,1993-01-06T00:00:00.000Z,,2010,,https://www.youtube.com/embed/y34iXfB3L9s,,
Ärsenik,Villiers-Le-Bel,Quartier de la Cerisaie,"2.391273, 49.002985",group,"Ärsenik is a rap group based in Villiers-le-Bel, France, founded in 1992, and made up of two brothers, Lino (Gaëlino M'Bani) and Calbo (Calboni M'Bani), whose family is originally from Congo.",https://fr.wikipedia.org/wiki/%C3%84rsenik,,,1992,,https://www.youtube.com/embed/V_6KlvS992Q,,
DJ Spanish Fly,Memphis,,"-90.050952, 35.121932",producer / dj,"DJ Spanish is an American DJ from Memphis, Tennessee. He is regularly considered as one of the father of the Memphis rap sound.",https://www.djspanishfly.com/home,,,1986,,https://www.youtube.com/embed/fr-VE6LW8t8,,
Lil Peep,Long Beach,,"-73.634834, 40.594228",rapper,"Gustav Elijah Åhr (November 1, 1996 %u2013 November 15, 2017), known professionally as Lil Peep, was an American rapper and singer from Long Beach, New York. He was a pioneer of an emo revival style of rap and rock music. He died in 2017 due the an accidental overdose. ",https://en.wikipedia.org/wiki/Lil_Peep,1996-11-01T00:00:00.000Z,2017-11-15T00:00:00.000Z,2014,2017.0,https://www.youtube.com/embed/3rkJ3L5Ce80,singer,
Trippie Redd,Canton,,"-81.348901, 40.799141",rapper,"Michael Lamar White IV (born June 18, 1999), known professionally as Trippie Redd, is an American rapper and singer from Canton, Ohio.",https://en.wikipedia.org/wiki/Trippie_Redd,1999-06-18T00:00:00.000Z,,2015,,https://www.youtube.com/embed/wrvN87l3s08,singer,
Sara Hebe,Buenos Aires,,"-58.488151, -34.618949",rapper,"Sara Hebe (Born 9 july 1983) is a rapper and hip-hop artist from Buenos Aires, Argentina.",https://es.wikipedia.org/wiki/Sara_Hebe,1983-07-09T00:00:00.000Z,,2009,,https://www.youtube.com/embed/Heu6yHUTMXk,,
Violadores del Verso,Zaragoza,,"-0.911346, 41.644846",group,"Violadores del Verso (Spanish for: Lyrical Molesters or Verse Rapists), also known as Doble V, are a rap music crew from Zaragoza, Spain.
The group is composed by Kase.O, Sho Hai, Lírico and R de Rumba.",https://en.wikipedia.org/wiki/Violadores_del_Verso,,,1998,2011.0,https://www.youtube.com/embed/brwIP1wI-FA,,
Baneva,Ankara,,"32.745016, 39.962226",rapper,Baneva is a Turkish rapper from Ankara.,,,,2018,,https://www.youtube.com/embed/hZtYuMndP5s,,
Ezhel,Ankara,,"32.836623, 39.895799",rapper,"Ezhel (real name Ömer Sercan %u0130pekçio%u011Flu) is a Turkish rapper from Ankara whose music blends trap, hip-hop and reggae. ",https://en.wikipedia.org/wiki/Ezhel,,,2016,,https://www.youtube.com/embed/o-OPeZIELHE,,
Joey Le Soldat,Ouagadougou,Tanghin,"-1.530721, 12.398691",rapper,"Joel Windtoin Sawadogo known as Joey Le Soldat, is a rapper from Ouagadougou, Burkina Faso.",http://www.joeylesoldat.com/,,,2012,,https://www.youtube.com/embed/qaGFDNn6sGo,,
Koba la D,Evry,Quartier du Parc au Lièvre,"2.447858, 48.626914",rapper,"Koba la D is a french rapper from Evry, Essonne.",https://www.infoconcert.com/artiste/koba-la-d-170901/biographie.html,,,2017,,https://www.youtube.com/embed/-C9Izxw3rOw,,
Juice Wrld,Homewood,,"-87.692954, 41.547077",rapper,"Jarad Anthony Higgins (December 2, 1998 %u2013 December 8, 2019), known professionally as Juice Wrld (pronounced as ""Juice World""), was an American rapper, singer, and songwriter from Homewood, Illinois. ",https://en.wikipedia.org/wiki/Juice_Wrld,1998-12-02T00:00:00.000Z,2019-12-08T00:00:00.000Z,2015,2019.0,https://www.youtube.com/embed/mzB1VGEGcSU,,
Payroll Giovanni,Detroit,,"-83.094953, 42.368340",rapper,"Payroll Giovanni is an american rapper from Detroit, Michigan born in 1988. He was signed to Young Jeezy%u2019s CTE alongside his groupmates Doughboyz Cashout but is now independent and releases material as an individual artist.",https://genius.com/artists/Payroll-giovanni,,,2014,,https://www.youtube.com/embed/Cpdof9yl178,,
DJ Fresh,Oakland,,"-122.296356, 37.811534",producer / dj,"Marqus Brown, known as DJ Fresh (born in Baltimore, Maryland) is an American hip hop producer based in Oakland, California. Best known for is Tonite Show series of albums.",https://en.wikipedia.org/wiki/DJ_Fresh_(producer),,,2006,,https://www.youtube.com/embed/jsjUqQgzKXo,,
G Perico,Los Angeles,South Central,"-118.278008, 33.938479",rapper,"G Perico (born Jeremy Nash) is an american rapper from South Central, Los Angeles, California.  ",https://genius.com/artists/G-perico,,,2016,,https://www.youtube.com/embed/7BD0SvpZNPc,,
Le Motel,Bruxelles,,"4.360158511679128, 50.84629375142881",producer / dj,Fabien Leclercq (known as Le Motel) is a Belgian producer from Bruxelles. He is mainly know for is collaboration with Belgian rapper like Romeo Elvis or Veence Hanao.,https://lemotel.be/,,,2014,,https://www.youtube.com/embed/0giw2paY394,,
Crapulax,Bruxelles,,"4.351279003914667, 50.84270677213688",rapper,"Camilo Escobar Lehmann known as Crapulax, is a Belgian rapper of Chilian origin from Bruxelles.",https://www.chronorap.fr/ACTU-YOU-TUBE/crapulax.html,,,2008,,https://www.youtube.com/embed/vb0oZc981eg,,
Madd,Casablanca,Mdina Kdima,"-7.620300857745559, 33.59685323961528",rapper,Mehdi Ribati  (born 1st September 1995) known as Madd is a Moroccan Rapper from Mdina Kdima neighborhood in Casablanca.,https://fr.wikipedia.org/wiki/Madd,1995-09-01T00:00:00.000Z,,2014,,https://www.youtube.com/embed/5KD3CdIHENw,,
Zwangere Guy,Bruxelles,Ganshoren,"4.308050184754745, 50.87820982997596",rapper,"Gorik van Oudheusden better known as Zwangere Guy (also know Omar G), is a Belgian rapper from Ganshoren, Bruxelles. He is a member of the Hip Hop group Stikstof.",https://nl.wikipedia.org/wiki/Zwangere_Guy,1988-05-10T00:00:00.000Z,,2014,,https://www.youtube.com/embed/T5mRp0FmjMA,,
Maes,Sevran,Beaudottes,"2.522351, 48.947632",rapper,"Maes is a French rapper from Sevran, Seine-Saint-Denis. ",,1995-01-10T00:00:00.000Z,,2017,,https://www.youtube.com/embed/tY-wJ3qTKGM,,
Fabe,Paris,10th District,"2.348593, 48.882888",rapper,"Fabrice ""Fabe"" (born in 1971 Paris, France) is a French rapper from 10th District of Paris. He is one of the founders of Scred Connexion.",https://en.wikipedia.org/wiki/Fabe_(French_rapper),1971-05-09T00:00:00.000Z,,1991,2000.0,https://www.youtube.com/embed/JIIHafVQzjA,,
Benash,Boulogne Billancourt,,"2.252386, 48.828183",rapper,"Benash is a French rapper from Boulogne-Billancourt, Hauts-de-Seine. He is a member of the 40000 Gang group.",https://www.wikiwand.com/fr/Benash,1994-02-16T00:00:00.000Z,,2012,,https://www.youtube.com/embed/5h4d3GJHSaI,,
Conway,Buffalo,,"-78.832976, 42.911531",rapper,Demond Price known professionally as Conway is an American rapper from Buffalo. He is the founder of Griselda Records alongside is brother Westside Gunn.,https://en.wikipedia.org/wiki/Conway_the_Machine,,,2015,,https://www.youtube.com/embed/V1o2rnJA0Rg,,
Maxo Kream,Alief,,"-95.595780, 29.672392",rapper,"Emekwanem Ogugua Biosah Jr. (born March 29, 1990), better known by his stage name Maxo Kream, is an American rapper and record producer from Alief, Houston, Texas.",https://en.wikipedia.org/wiki/Maxo_Kream,1990-03-29T00:00:00.000Z,,2012,,https://www.youtube.com/embed/JOT5pvE_ep8,,
Dilated peoples,Los Angeles,,"-118.243796, 34.041235",group,"Dilated Peoples is an American hip hop group from Los Angeles, California. The group is formed by Dj Babu, Evidence and Rakaa.",https://en.wikipedia.org/wiki/Dilated_Peoples,,,1992,,https://www.youtube.com/embed/sevZEOUXpw4,,
Hopsin,Panorama City,,"-118.428477, 34.226321",rapper,"Marcus Jamal Hopson (born July 18, 1985), better known by his stage name Hopsin, is an American rapper, record producer, director and actor from Panorama City, Los Angeles, California.",https://en.wikipedia.org/wiki/Hopsin,1985-07-18T00:00:00.000Z,,2001,,https://www.youtube.com/embed/nbqguu8NsM4,,
Kamaiyah,Sacramento,,"-121.458544, 38.543226",rapper,"Kamaiyah Jamesha Johnson (born March 13, 1992) is an American rapper and singer from Sacramento, California. ",https://en.wikipedia.org/wiki/Kamaiyah,1992-03-13T00:00:00.000Z,,2014,,https://www.youtube.com/embed/dzY6doznXQM,,
Mob Figaz,Sacramento,,"-121.883391, 38.031207",group,"Mob Figaz is a Bay Area hip hop group formed by C-Bo in 1997. The members consist of Husalah, Rydah J. Klyde, and The Jacka from Pittsburg, Fed-X from Richmond and AP.9 from Oakland, California.",https://en.wikipedia.org/wiki/Mob_Figaz,,,1997,,https://www.youtube.com/embed/qWwJNNNgB4k,,
Husalah,Pittsburg,,"-121.878868, 38.003711",rapper,"James ""Husalah"" Ratliff (born May 13, 1979), is an american rapper from Pittsburg, California. He began his career with the Pittsburg group the Mob Figaz, whose first album, C-Bo's Mob Figaz, was released in 1999.",https://en.wikipedia.org/wiki/Husalah,1979-05-13T00:00:00.000Z,,1995,,https://www.youtube.com/embed/TzOKc3MKVb0,,
C-Bo,Sacramento,The Gardens,"-121.484741, 38.529709",rapper,"Shawn Thomas (born January 14, 1972), better known by his stage name C-Bo, is an American rapper from Sacramento, California.",https://en.wikipedia.org/wiki/C-Bo,1972-01-14T00:00:00.000Z,,1991,,https://www.youtube.com/embed/dtvMFF6kNio,,
N.O.R.E.,Queens,LeFrak City,"-73.862528, 40.736136",rapper,"Victor Santiago, Jr. (born September 6, 1977), best known by his stage name N.O.R.E., formerly Noreaga, is an American rapper. Santiago first rose to prominence as one half of the East Coast hip hop duo Capone-N-Noreaga (C-N-N), alongside fellow Queens-based rapper Capone.",https://en.wikipedia.org/wiki/N.O.R.E.,1977-09-06T00:00:00.000Z,,1995,,https://www.youtube.com/embed/Nsji2gQTWF8,,
Cardi B,Bronx,Highbridge,"-73.925561, 40.837350",rapper,"Belcalis Almanzar (born October 11, 1992), known professionally as Cardi B, is an American rapper. Born and raised in Highbridge, South Bronx, New York City.",https://en.wikipedia.org/wiki/Cardi_B,1992-10-11T00:00:00.000Z,,2015,,https://www.youtube.com/embed/PEGccV-NOm8,,
6ix9ine,Brooklyn,Bushwick,"-73.911077, 40.687691",rapper,"Daniel Hernandez (born May 8, 1996), known by his stage name 6ix9ine (""six-nine""), also known as Tekashi69 or simply Tekashi, is an American rapper from Bushwick, Brooklyn.",https://en.wikipedia.org/wiki/6ix9ine,1996-05-08T00:00:00.000Z,,2012,,https://www.youtube.com/embed/gAs9HZC9c7Y,,
Blueprint Hakeem,Bamemba,,"10.156693, 5.953207",rapper,"Blueprint Hakeem is a Cameroonian rapper, from the Bafut tribe in the North West Region of Cameroon. ",,,,2015,,https://www.youtube.com/embed/kBKz6WUWk7s,,
Drakeo The Ruler,Los Angeles,South Central,"-118.252303, 33.982130",rapper,"Darrell Caldwell, better know by is staged name Drakeo The Ruler (born 28/10/1993), was an American rapper from South Central, Los Angeles, California. He was stabbed to death December 18, 2021 during the %u201COnce Upon a Time in LA%u201D concert.",https://genius.com/artists/Drakeo-the-ruler,,2021-12-12T00:00:00.000Z,2015,2021.0,https://www.youtube.com/embed/g_erHkSrMJk,,
L'Skadrille,Saint-Cyr-l'École,,"2.058583, 48.806900",group,"L'Skadrille is a French rap band from Saint-Cyr-l'École, Yvelines. Formed in 1996 by 13or (Trésor) et 16ar (César).",https://fr.wikipedia.org/wiki/L%27Skadrille,,,1996,2010.0,https://www.youtube.com/embed/FiTnItJg35w,,
03 Greedo,Watts,Jordan Downs,"-118.236665, 33.947693",rapper,"03 Greedo is an American rapper/singer from Watts, Los Angeles, California.",https://genius.com/artists/03-greedo,,,2016,,https://www.youtube.com/embed/0lPOXSYY1co,singer,
21 Savage,Atlanta,,"-84.212236, 33.833231",rapper,"Shayaa Bin Abraham-Joseph (born October 22, 1992), better known by his stage name 21 Savage, is an American rapper from Atlanta of Dominican and Haitian descent.",https://en.wikipedia.org/wiki/21_Savage,1992-10-22T00:00:00.000Z,,2013,,https://www.youtube.com/embed/6wtwpUwxQik,,
Lil pump,Miami,,"-80.261310, 25.775000",rapper,"Gazzy Garcia (born August 17, 2000), known professionally as Lil Pump, is an American rapper, producer from Miami, Florida. ",https://en.wikipedia.org/wiki/Lil_Pump,2000-08-17T00:00:00.000Z,,2016,,https://youtu.be/4LfJnj66HVQ,,
Ministère A.M.E.R,Sarcelles,,"2.380401, 48.979238",group,"The Ministère AMER (Action, Musique Et Rap) is a French hip hop group from Sarcelles, consisting of the rappers Passi and Stomy Bugsy, DJ Ghetch, and the producer/manager Kenzy.",https://en.wikipedia.org/wiki/Minist%C3%A8re_AMER,,,1990,,https://www.youtube.com/embed/CjalUVgq32E,,
Xavier Wulf,Memphis,East Memphis,"-89.965331, 35.143274",rapper,"Xavier (once known as Ethelwulf) Wulf is an American rapper from East Memphis, Tennessee. Wulf was a member of the rap outfit Raider Klan.",https://genius.com/artists/Xavier-wulf,,,2012,,https://www.youtube.com/embed/Gvk2fJq1xhQ,,
Laioung,Ostuni,,"17.575945, 40.726051",producer / dj,"Laïoung (born Giuseppe Bockarie Consoli, 13/08/1992), is a rapper and Italian producer. He is the cofounder of the rap crew RRR Mob.",https://it.wikipedia.org/wiki/La%C3%AFoung,1992-08-13T00:00:00.000Z,,2014,,https://www.youtube.com/embed/Qf6jrz9j27E,rapper,
Griby,Kiev,,"30.514387, 50.421761",group,"Griby is a Ukrainian rap group from Kiev, Ukraine.",https://nl.wikipedia.org/wiki/Griby,,,2016,,https://www.youtube.com/embed/pFBUh3hKKDg,,
AKA,Cape Town,,"18.594776, -33.944170",rapper,"Kiernan Jarryd Forbes, known by his stage name AKA, is a South African hip hop recording artist and record producer.",https://en.wikipedia.org/wiki/AKA_(rapper),,,2002,,https://www.youtube.com/embed/r8hofUKu18M,,
Nasty C,Durban,,"31.026449, -29.848808",rapper,"Nsikayesizwe David Junior Ngcobo (born 11 February 1997), better known by his stage name Nasty C, is a South African rapper, songwriter and record producer from Durban.",https://en.wikipedia.org/wiki/Nasty_C,1997-02-11T00:00:00.000Z,,2013,,https://www.youtube.com/embed/6uWnKPVW9Ig,,
Cassper Nyovest,Mahikeng,Montshiwa,"25.621946, -25.850028",rapper,"Refiloe Maele Phoolo (born 16 December 1990), professionally known as Cassper Nyovest, is a South African rapper from Mahikeng. His debut album Tsholofelo was released on 18 July 2014. He is currently signed to his own independent label and media company, Family Tree.",https://en.wikipedia.org/wiki/Cassper_Nyovest,1990-12-16T00:00:00.000Z,,2004,,https://www.youtube.com/embed/ui3q2g55z3A,,
Moha La Squale,Paris,La Bannane,"2.388542, 48.864272",rapper,"Mohamed Bellahmed, better know as Moha La Squale (born 24 February 1995) , is a French rapper from the 20th district of Paris.",https://genius.com/artists/Moha-la-squale,1995-02-24T00:00:00.000Z,,2017,,https://www.youtube.com/embed/96h97kNEgXM,,
Young MC,Queens,,"-73.805135, 40.692907",rapper,"Marvin Young (born May 10, 1967), better known by his stage name Young M.C., is an English-born American singer, rapper and actor from the Queens, New York. He is best known for his 1989 hit ""Bust a Move"". ",https://en.m.wikipedia.org/wiki/Young_MC,1967-05-10T00:00:00.000Z,,1989,2008.0,https://www.youtube.com/embed/tZQQGX24Teg,,
Kevin Abstract,Corpus Christi,,"-97.407361, 27.722442",producer / dj,"Kevin Abstract (born Ian Simpson; July 16, 1996), is an American rapper, singer-songwriter, and director. Abstract is a founding member of the Brockhampton band.",https://en.m.wikipedia.org/wiki/Kevin_Abstract,1996-07-16T00:00:00.000Z,,2009,,https://www.youtube.com/embed/1RSQaVG7_QI,rapper,
Loud,Montréal,,"-73.618087, 45.472160",rapper,"Loud is the stage name of Simon Cliche Trudeau, a Canadian rapper from Montreal. Formerly associated with the band Loud Lary Ajust, he released his debut solo recording Une année record in 2017.",https://en.wikipedia.org/wiki/Loud_(rapper),,,2015,,https://www.youtube.com/embed/keuA7enn7a0,,
Woodie Smalls,Sint-Niklaas,,"4.130990, 51.158884",rapper,"Woodie Smalls (born 18 June 1996) is a Belgian rapper born and raised in Sint-Niklaas, Belgium.",https://en.wikipedia.org/wiki/Woodie_Smalls,1996-06-18T00:00:00.000Z,,2015,,https://www.youtube.com/embed/qUp_aa00NdM,,
STR,Bruxelles,,"4.365640, 50.829959",rapper,STR is a Belgian rapper from Bruxelles. He is a member of the 6 O'Clock Gang.,https://www.facebook.com/samitharipou/,,,2017,,https://www.youtube.com/embed/bPU3W4Y8gd8,,
OPAK,Bruxelles,,"4.348515498606379, 50.84734177960323",rapper,"Opak was a Belgian group from Brussels composed of Scylla, L'AB7 (L'AB2C), Karib, Masta Pi and DJ Alien. ",https://fr.wikipedia.org/wiki/OPAK_(groupe_belge),,,2002,2006.0,https://www.youtube.com/embed/cCXl2K9gi-E,,
Mochélan,Charleroi,,"4.444600698950631, 50.41156793318681",rapper,"Simon Delecosse, known as Mochélan is Belgian rapper / singer from Charleroi. ",https://fr.wikipedia.org/wiki/Moch%C3%A9lan,,,2005,,https://www.youtube.com/embed/CfKkSGNE-ag,singer,
Darrell Cole,Antwerp,,"4.400089542688251, 51.216893886228",rapper,Darrell Cole is a rapper/singer of Sierra Leonean origin born in London but raised in Antwerp.,https://www.last.fm/music/Darrell+Cole/+wiki,,,2011,,https://www.youtube.com/embed/QvMIIE3sVD4,singer,
Hesytap SQUAD,Liège,,"5.567524838862356, 50.635259183372376",rapper,Hesytap Squad is a Belgian rap group from Liege compose of Absolem et Slyder.,http://www.goutemesdisques.com/news/article/entre-liege-et-bruxelles-le-hesytap-squad-ecrit-deja-un-nouveau-chapitre-de-lepopee-rap-en-n/,,,2017,,https://www.youtube.com/embed/1h0HaTcilhI,,
Venlo,Liege,,"5.5919719928023355, 50.652325112143366",rapper,François Lovens (born 08/20/1995) known as Venlo is a Belgian rapper from Liege.,https://plus.wikimonde.com/wiki/Venlo_(rappeur),1995-08-20T00:00:00.000Z,,2013,,https://www.youtube.com/embed/bpee4MSQCwM,,
Opgezwolle,Zwolle,,"6.081492036151767, 52.52610842217784",group,"Opgezwolle was a Dutch rap group from Zwolle (Overijssel). The group is  composed of MCs Sticky Steez, Phreako Rico, and beatmaker DJ Dippy Delic ",https://en.wikipedia.org/wiki/Opgezwolle,,,1998,2006.0,https://www.youtube.com/embed/j0fv36c1F9U,,
